1차사업소,사용년월,부생연료사용량,등유사용량,전력사용량,가스사용량,경유사용량,지역난방사용량,지하수사용량,상수도사용량,연탄사용량
대구본부,201909,0,0,1952628,0,0,0,,9618,0
대구본부,201910,0,0,1601926,0,0,0,,4461,0
대구본부,201911,15000,0,0,0,0,0,,18060,0
대구본부,201912,15000,22100,1799451,0,0,0,,18895,0
대구본부,202001,5000,600,1951846,0,0,0,,2398,0
대전세종충남본부,201901,15500,3200,2438440,0,0,3.1,,2869,0
대전세종충남본부,201902,16000,900,2327235,0,0,0,,2929,0
대전세종충남본부,201903,8500,880,1905164,0,0,0,,2128,0
대전세종충남본부,201904,4000,0,2002046,0,0,1.99,,2288,0
대전세종충남본부,201905,0,60,1620965,0,0,1.35,,2888,0
대전세종충남본부,201906,0,0,1734329,0,0,1.67,,3104,0
대전세종충남본부,201907,0,0,1934662,0,0,0,,15274,0
대전세종충남본부,201909,0,4,2114629,0,0,9.3,,41828,0
대전세종충남본부,201910,0,0,1754572,0,0,2.8,,3320,0
대전세종충남본부,201911,144950,4500,0,0,0,4.45,,16400,0
대전세종충남본부,201912,35500,6475,2021083,0,0,0,,57505,0
대전세종충남본부,202001,20600,2800,2259907,0,0,0,,5524,0
부산울산본부,201901,2000,1200,2654652,69299,0,1560,,6970,0
부산울산본부,201902,0,1200,2478011,84490,0,0,,4420.3,0
부산울산본부,201903,0,0,2255657,66155,0,0,,5915,0
부산울산본부,201904,0,23,2191321,0,0,0,,6871,0
부산울산본부,201905,0,0,2213693,0,0,0,,6856,0
부산울산본부,201906,0,0,2405408,0,0,0,,7798,0
부산울산본부,201907,0,0,2481863,0,0,0,,16500,0
부산울산본부,201909,0,0,2977527,0,0,0,,19644,0
부산울산본부,201910,0,0,2675662,0,0,0,,6439,0
부산울산본부,201911,0,0,0,0,0,0,,32280,0
부산울산본부,201912,0,3500,2354764,0,0,0,,27015,0
부산울산본부,202001,0,600,2516100,0,0,64492,,6452,0
서울본부,201901,6000,0,3424649,0,0,4228,,106839,0
서울본부,201902,6000,0,3141751,0,0,4129,,50014,0
서울본부,201903,0,0,2658055,0,0,0,,21396,0
서울본부,201904,0,0,2809430,0,0,0,,108809,0
서울본부,201905,0,0,2741819,0,0,0,,936423,0
서울본부,201906,0,0,2989602,0,0,0,,43369,0
서울본부,201907,0,0,3191944,0,0,0,,201304,0
서울본부,201909,0,0,3444676,0,0,0,,210024,0
서울본부,201910,0,0,3108858,0,0,0,,47531,0
서울본부,201911,80000,0,0,0,0,0,,533155,0
서울본부,201912,50000,0,2954837,0,0,5955,,296410,0
서울본부,202001,6000,5,3075552,0,0,2245,,8375,0
속초연수원,201901,20000,0,146431,0,0,0,,2657,0
속초연수원,201902,0,0,128082,0,0,0,,4863,0
속초연수원,201903,20000,0,99443,0,0,0,,3794,0
속초연수원,201904,20000,0,95128,0,0,0,,4326,0
속초연수원,201905,0,0,81389,0,0,0,,2844,0
속초연수원,201906,0,0,82743,0,0,0,,3334,0
속초연수원,201907,40000,0,74686,0,0,0,,5270,0
속초연수원,201909,0,0,82978,0,0,0,,10232,0
속초연수원,201910,20000,0,89963,0,0,0,,4565,0
속초연수원,201911,0,0,0,0,0,0,,21680,0
속초연수원,201912,100000,0,126313,0,0,0,,10190,0
속초연수원,202001,20000,0,143299,0,0,0,,4160,0
수안보연수원,201901,70000,0,104934,0,0,0,,4991,0
수안보연수원,201902,0,0,101824,0,0,0,,4419,0
수안보연수원,201903,0,0,96366,0,0,0,,3644,0
수안보연수원,201904,30000,0,82679,0,0,0,,3535,0
수안보연수원,201905,10000,0,75616,0,0,0,,1878,0
수안보연수원,201906,0,0,84910,0,0,0,,4290,0
수안보연수원,201907,60000,0,100211,0,0,0,,8238,0
수안보연수원,201909,0,0,110104,0,0,0,,9642,0
수안보연수원,201910,30000,0,69386,0,0,0,,3571,0
수안보연수원,201911,52110,150000,0,0,0,0,,16940,0
수안보연수원,201912,200000,0,80022,0,0,0,,19960,0
수안보연수원,202001,0,0,102039,0,0,0,,3943,0
인재개발원,201901,0,0,230313,0,0,0,,182,0
인재개발원,201902,0,30,224539,0,0,0,,174,0
인재개발원,201903,0,0,201052,0,0,46663,,416,0
인재개발원,201904,0,0,193428,0,0,0,,3664,0
인재개발원,201905,0,0,139474,0,0,0,,5661,0
인재개발원,201906,0,0,148158,0,0,0,,4782,0
인재개발원,201907,0,0,193344,0,0,0,,9636,0
인재개발원,201909,0,0,255455,0,0,0,,0,0
인재개발원,201910,0,0,161892,0,0,0,,9154,0
인재개발원,201911,0,0,0,0,0,0,,23400,0
인재개발원,201912,0,1500,197630,0,0,0,,24350,0
인재개발원,202001,0,300,236263,0,0,0,,182,0
인천본부,201901,0,0,2367587,0,0,0,,2373,0
인천본부,201902,0,0,2268833,0,0,0,,2570,0
인천본부,201903,0,0,1864326,0,0,0,,2104,0
인천본부,201904,0,0,1802923,0,0,0,,2379,0
인천본부,201905,0,0,1681754,0,0,0,,2985,0
인천본부,201906,0,0,1791828,0,0,0,,2680,0
인천본부,201907,0,0,2032256,0,0,0,,157224,0
인천본부,201909,0,0,2272448,0,0,0,,6654,0
인천본부,201910,0,0,1913356,0,0,0,,3857,0
인천본부,201911,0,0,0,0,0,0,,15630,0
인천본부,201912,0,0,2032526,0,0,0,,11775,0
인천본부,202001,0,0,2276230,0,0,0,,3184,0
자재검사처,201901,0,0,146107,0,0,0,,920,0
자재검사처,201902,0,0,128235,0,0,0,,90,0
자재검사처,201903,0,0,98831,0,0,0,,799,0
자재검사처,201904,0,0,92761,0,0,0,,649,0
자재검사처,201905,0,0,70880,0,0,0,,569,0
자재검사처,201906,0,0,73077,0,0,0,,586,0
자재검사처,201907,0,0,94119,0,0,0,,1490,0
자재검사처,201909,0,0,78456,0,0,0,,1970,0
자재검사처,201910,0,0,64573,0,0,0,,1022,0
자재검사처,201911,0,0,0,0,0,0,,2560,0
자재검사처,201912,0,0,135926,0,0,0,,2720,0
자재검사처,202001,0,0,134717,0,0,0,,580,0
전력그리드본부,201901,0,0,8691,0,0,0,,0,0
전력그리드본부,201902,0,0,8622,0,0,0,,0,0
전력그리드본부,201903,0,0,7536,0,0,0,,0,0
전력그리드본부,201904,0,0,8299,0,0,0,,0,0
전력그리드본부,201905,0,0,8292,0,0,0,,0,0
전력그리드본부,201906,0,0,9572,0,0,0,,0,0
전력그리드본부,201907,0,0,8577,0,0,0,,0,0
전력그리드본부,201909,0,0,9166,0,0,0,,0,0
전력그리드본부,201910,0,0,8502,0,0,0,,0,0
전력그리드본부,201912,0,0,8257,0,0,0,,0,0
전력그리드본부,202001,0,0,7866,0,0,0,,0,0
전력연구원,201901,0,0,1232997,0,0,0,,2423,0
전력연구원,201902,0,0,1007765,0,0,0,,4183,0
전력연구원,201903,0,0,902426,0,0,0,,3923,0
전력연구원,201904,0,0,776879,0,3900,0,,3940,0
전력연구원,201905,0,0,732875,0,0,0,,4273,0
전력연구원,201906,0,0,817487,0,0,0,,4518,0
전력연구원,201907,0,0,1157388,0,0,0,,11842,0
전력연구원,201909,0,0,977307,0,0,0,,9360,0
전력연구원,201910,0,0,838698,0,0,0,,4953,0
전력연구원,201911,0,0,0,0,8000,0,,36890,0
전력연구원,201912,0,0,1150974,0,10450,0,,26435,0
전력연구원,202001,0,0,1183409,0,0,0,,4180,0
전북본부,201901,0,4000,1056694,0,0,2274,,1866,0
전북본부,201902,0,0,1016859,0,3000,0,,49431,0
전북본부,201903,0,4000,847943,0,0,0,,3116,0
전북본부,201904,0,3000,842696,0,3000,0,,2752,0
전북본부,201905,0,0,712597,0,0,0,,1519,0
전북본부,201906,0,0,730587,0,0,0,,2524,0
전북본부,201907,0,0,816458,0,0,0,,4034,0
전북본부,201909,0,0,968052,0,0,0,,5930,0
전북본부,201910,0,0,793230,17,0,0,,3661,0
전북본부,201911,0,15000,0,65,15000,0,,11415,0
전북본부,201912,0,25000,874853,0,0,0,,12400,0
전북본부,202001,0,0,982059,0,3000,0,,1979,0
제주본부,201901,0,2,1453743,0,7000,0,,768,0
제주본부,201902,0,0,1490765,0,0,0,,155,0
제주본부,201903,0,0,1322269,0,0,0,,1043,0
제주본부,201904,0,0,1007383,0,0,0,,1161,0
제주본부,201905,0,0,724550,0,0,0,,956,0
제주본부,201906,0,0,740754,0,0,0,,885,0
제주본부,201907,0,0,832472,0,0,0,,2198,0
제주본부,201909,0,0,961414,0,0,0,,2334,0
제주본부,201910,0,0,883827,0,0,0,,1030,0
제주본부,201911,0,0,0,0,0,0,,4605,0
제주본부,201912,0,0,776121,0,0,0,,4985,0
제주본부,202001,0,0,784050,0,3000,0,,282,0
중부건설본부,201901,0,0,87735,0,0,0,,276,0
중부건설본부,201902,0,0,98769,0,0,0,,307,0
중부건설본부,201903,0,0,99205,0,0,0,,255,0
중부건설본부,201904,0,0,99542,0,0,0,,310,0
중부건설본부,201905,0,0,85828,0,0,0,,301,0
중부건설본부,201906,0,0,76276,0,0,0,,364,0
중부건설본부,201907,0,0,73276,0,0,0,,742,0
중부건설본부,201909,0,0,93370,0,0,0,,754,0
중부건설본부,201910,0,0,63269,0,0,0,,333,0
중부건설본부,201911,0,0,0,0,0,0,,1640,0
중부건설본부,201912,0,0,66104,0,0,0,,1430,0
중부건설본부,202001,0,0,80758,0,0,0,,309,0
충북본부,201901,21334,0,1846583,0,800,2216,,1889,0
충북본부,201902,23000,0,1711537,0,0,2666,,1803,0
충북본부,201903,19563,0,1337443,0,0,1791,,1463,0
충북본부,201904,3710,0,1268585,0,0,972,,1864,0
충북본부,201905,5000,1,1106217,0,0,344,,1753,0
충북본부,201906,0,0,1206930,0,0,0,,1906,0
충북본부,201907,0,0,1334141,0,0,0,,4234,0
충북본부,201909,0,0,1481911,0,0,0,,4972,0
충북본부,201910,7000,0,1186982,0,0,0,,2280,0
충북본부,201911,40400,0,0,0,0,7425,,8475,0
충북본부,201912,111450,75,1449812,0,0,14300,,7950,0
충북본부,202001,37421,0,1688574,0,0,6272,,1590,0
한국전력,201901,0,0,2541079,0,0,0,,0,0
한국전력,201902,0,0,2358228,0,0,0,,0,0
한국전력,201903,0,0,460451,0,0,0,,0,0
한국전력,201904,0,0,309022,0,0,0,,0,0
한국전력,201905,0,0,250748,0,0,0,,0,0
한국전력,201906,0,0,254271,0,0,0,,0,0
한국전력,201907,0,0,269901,0,0,0,,0,0
한국전력,201909,0,0,256295,0,0,0,,0,0
한국전력,201910,0,0,227905,0,0,0,,0,0
한국전력,201912,0,0,249005,0,0,0,,0,0
한국전력,202001,0,0,249884,0,0,0,,0,0
